Watershed,dep_names,expl_names,nobs,p.value,r.squared,adj.r.squared,RMSE,statistic,df,r,p,r.sq.adj,r_labels,r2_labels
Gunnison,DOC_mgL,WsAreaSqKm,29,1.01862720760802e-5,0.5200041158732943,0.5022264905352682,0.7542328800596646,29.250482333037567,1,0.7211131089318058,< 0.1,0.50,r~'= '*0.72,r^2~'= '*0.50
Gunnison,DOC_mgL,tt_hr,29,7.756305717839827e-6,0.5293232252601613,0.5118907521216487,0.7468752858643081,30.364207135404005,1,0.727546029650469,< 0.1,0.51,r~'= '*0.73,r^2~'= '*0.51
Gunnison,DOC_mgL,Da,29,4.473368053669428e-6,0.547621192425258,0.5308664217743416,0.7322136658477388,32.68449349948618,1,0.7400143190677178,< 0.1,0.53,r~'= '*0.74,r^2~'= '*0.53
Gunnison,DOC_mgL,lulc_evenness,29,0.05444181237646255,0.13023593971216915,0.09802245599780512,1.0152837460330828,4.042901440495133,1,0.36088216873679035,< 0.1,0.10,r~'= '*0.36,r^2~'= '*0.10
Gunnison,DOC_mgL,PctDecid2019Ws,29,0.09128017556648349,0.10198826928942473,0.06872857555940348,1.0316388992013146,3.066422382517814,1,0.31935602278558134,< 0.1,0.07,r~'= '*0.32,r^2~'= '*0.07
Gunnison,DOC_mgL,PctConif2019Ws,29,0.09325067768450589,0.10082550696258363,0.06752274796119795,1.0323065757788428,3.0275421612482045,1,0.3175303244771807,< 0.1,0.07,r~'= '*0.32,r^2~'= '*0.07
Gunnison,peaks.with.formula,WsAreaSqKm,29,0.11511232526018587,0.08940069990032991,0.05567479989663848,1012.9157823769978,2.650802495724191,1,0.2989994981606657,n.s.,NA,NA,NA
Gunnison,peaks.with.formula,tt_hr,29,0.0222259577377963,0.1789631137442368,0.14855434017920854,961.8138273282532,5.8852460248529725,1,0.423040321652956,< 0.1,0.15,r~'= '*0.42,r^2~'= '*0.15
Gunnison,peaks.with.formula,Da,29,0.0204202154402571,0.18351974474680136,0.15327973529297922,959.1411530275542,6.068772730611877,1,0.4283920456156969,< 0.1,0.15,r~'= '*0.43,r^2~'= '*0.15
Gunnison,peaks.with.formula,lulc_evenness,29,0.5477946097446221,0.013538124605503722,-0.022997500409107197,1054.2651110651136,0.37054586037845766,1,-0.11635344689996839,n.s.,NA,NA,NA
Gunnison,peaks.with.formula,PctDecid2019Ws,29,0.5987199264949534,0.010393798888643661,-0.026258282633999208,1055.9439978018127,0.2835800439389127,1,-0.10194998228858945,n.s.,NA,NA,NA
Gunnison,peaks.with.formula,PctConif2019Ws,29,5.195026791475669e-4,0.36498010863366,0.3414608533978696,845.869462875932,15.518353152537433,1,0.6041358362435224,< 0.1,0.34,r~'= '*0.60,r^2~'= '*0.34
Gunnison,AI_Mod.mean,WsAreaSqKm,29,0.19489525109423764,0.061419765039939005,0.02665753411549232,0.02943977060699295,1.7668533752459845,1,0.2478301132629752,n.s.,NA,NA,NA
Gunnison,AI_Mod.mean,tt_hr,29,0.045244771519428635,0.14035758836945647,0.10851898053128817,0.028174592046654335,4.408408466942927,1,0.3746432814951528,< 0.1,0.11,r~'= '*0.37,r^2~'= '*0.11
Gunnison,AI_Mod.mean,Da,29,0.049199871852458374,0.13577533233887296,0.10376701131438681,0.028249583465169783,4.241876111996177,1,0.3684770445209212,< 0.1,0.10,r~'= '*0.37,r^2~'= '*0.10
Gunnison,AI_Mod.mean,lulc_evenness,29,0.49888203740596226,0.017105598715746774,-0.019297897628114402,0.030126740741695315,0.46988889622497243,1,-0.13078837377896715,n.s.,NA,NA,NA
Gunnison,AI_Mod.mean,PctDecid2019Ws,29,0.7451581582460635,0.003977924828243413,-0.032911781659599404,0.03032726187849345,0.10783292161878151,1,-0.06307079219609836,n.s.,NA,NA,NA
Gunnison,AI_Mod.mean,PctConif2019Ws,29,3.7217183034006176e-4,0.37970287679078746,0.3567289092645204,0.02393308057729909,16.52752735706868,1,0.6162003544228026,< 0.1,0.36,r~'= '*0.62,r^2~'= '*0.36
Gunnison,CHON_norm,WsAreaSqKm,29,0.03304410277096924,0.15749522855024045,0.12629134812617537,2.339736222306052,5.047296246808343,1,0.3968566851525125,< 0.1,0.13,r~'= '*0.40,r^2~'= '*0.13
Gunnison,CHON_norm,tt_hr,29,0.07484178474778817,0.11282321776873064,0.07996481842683179,2.40096482664204,3.433618801536261,1,0.33589167564667416,< 0.1,0.08,r~'= '*0.34,r^2~'= '*0.08
Gunnison,CHON_norm,Da,29,0.10583059331954697,0.09395077120506005,0.06039339236080299,2.426367675179526,2.799705294060494,1,0.3065139005087044,n.s.,NA,NA,NA
Gunnison,CHON_norm,lulc_evenness,29,0.1678980418511339,0.06922535100937027,0.03475221586156929,2.4592517385341033,2.0080956000251073,1,0.26310710938583576,n.s.,NA,NA,NA
Gunnison,CHON_norm,PctDecid2019Ws,29,0.16495355895339586,0.07015900928283224,0.03572045407108537,2.4580179937027204,2.0372227827635774,1,0.2648754599483167,n.s.,NA,NA,NA
Gunnison,CHON_norm,PctConif2019Ws,29,0.19143319794475372,0.06235162627377251,0.02762390872835674,2.4683157611889897,1.795442680395882,1,0.24970307622008306,n.s.,NA,NA,NA
Gunnison,normalized.transformations,WsAreaSqKm,29,0.017085366698785433,0.19306760722572233,0.16318122230815657,1.526994892154747,6.460052219706442,1,0.43939459171196277,< 0.1,0.16,r~'= '*0.44,r^2~'= '*0.16
Gunnison,normalized.transformations,tt_hr,29,0.015895549211647167,0.1969164374359843,0.16717260178546522,1.5233488810700915,6.6204116963827975,1,0.4437526759761388,< 0.1,0.17,r~'= '*0.44,r^2~'= '*0.17
Gunnison,normalized.transformations,Da,29,0.014760931253014649,0.2008547268885465,0.17125675381034466,1.5196090696784417,6.786097357337958,1,0.4481681904023826,< 0.1,0.17,r~'= '*0.45,r^2~'= '*0.17
Gunnison,normalized.transformations,lulc_evenness,29,0.33184608921515646,0.034903133950995174,-8.411944211901279e-4,1.6699538221518577,0.9764663525795949,1,0.18682380456193234,n.s.,NA,NA,NA
Gunnison,normalized.transformations,PctDecid2019Ws,29,0.5256310091243699,0.015083181825210483,-0.02139521884792983,1.6870143864420497,0.41348254163775544,1,0.12281360602641092,n.s.,NA,NA,NA
Gunnison,normalized.transformations,PctConif2019Ws,29,0.005905459095786376,0.24860079313489558,0.22077119288063252,1.4735143702750093,8.932963135063833,1,0.4985988298571267,< 0.1,0.22,r~'= '*0.50,r^2~'= '*0.22
Willamette,DOC_mgL,WsAreaSqKm,49,0.16535650700967355,0.040539502798096344,0.02012544966614105,0.43003614012596986,1.985862510303616,1,0.2013442395453526,n.s.,NA,NA,NA
Willamette,DOC_mgL,tt_hr,49,0.18678607707213035,0.036782337418368255,0.016288344597482518,0.4308773098455744,1.7947862937125043,1,0.19178721912152616,n.s.,NA,NA,NA
Willamette,DOC_mgL,Da,49,0.31331401843852946,0.021624596216249847,8.080982634041112e-4,0.43425434124121726,1.038820087088358,1,0.1470530387861801,n.s.,NA,NA,NA
Willamette,DOC_mgL,lulc_evenness,49,5.314545844051875e-4,0.22742912965278533,0.21099145156029142,0.38588737520593114,13.835842773721073,1,0.4768953026113648,< 0.1,0.21,r~'= '*0.48,r^2~'= '*0.21
Willamette,DOC_mgL,PctDecid2019Ws,49,0.03866798932714685,0.08783198810959017,0.06842415806936875,0.419303825674878,4.525595490457408,1,0.29636462020556736,< 0.1,0.07,r~'= '*0.30,r^2~'= '*0.07
Willamette,DOC_mgL,PctConif2019Ws,49,0.004893791911218246,0.1565458053070445,0.1385999713774072,0.4032015165685575,8.723239383627128,1,-0.39565869800504005,< 0.1,0.14,r~'= '*-0.40,r^2~'= '*0.14
Willamette,peaks.with.formula,WsAreaSqKm,52,0.4604198582391589,0.01094653384584561,-0.008834535477237448,725.3357611571645,0.5533843326190556,1,0.10462568444624683,n.s.,NA,NA,NA
Willamette,peaks.with.formula,tt_hr,52,0.3260717487628729,0.01929369058256667,-3.2043560578198793e-4,722.2685256818664,0.9836630190555039,1,0.13890172994807046,n.s.,NA,NA,NA
Willamette,peaks.with.formula,Da,52,0.4595098605980402,0.010990777560105183,-0.008789406888692675,725.3195376120499,0.5556458580330946,1,0.10483690934067613,n.s.,NA,NA,NA
Willamette,peaks.with.formula,lulc_evenness,52,0.03703048401696889,0.08409973114368638,0.06578172576656016,697.9965862349026,4.591096542023176,1,0.2899995364542609,< 0.1,0.07,r~'= '*0.29,r^2~'= '*0.07
Willamette,peaks.with.formula,PctDecid2019Ws,52,0.2259002589667599,0.02918933333878613,0.009773120005561853,718.6153257154739,1.5033484046468766,1,0.17084886109888509,n.s.,NA,NA,NA
Willamette,peaks.with.formula,PctConif2019Ws,52,0.1075764364716762,0.050963028270717234,0.03198228883613152,710.5109429858428,2.6849864541027952,1,-0.22574992418762282,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,WsAreaSqKm,52,0.7182135686095926,0.0026269249204473885,-0.017320536581143742,0.022525714439116756,0.13169219152210718,1,-0.05125353568728102,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,tt_hr,52,0.8838468535616555,4.3106832497979644e-4,-0.01956031030852068,0.022550497564268114,0.02156271125081073,1,0.020762184976052016,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,Da,52,0.9478445444633138,8.643556583203273e-5,-0.01991183572285138,0.022554384725116016,0.004322151879244931,1,-0.009297072971211686,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,lulc_evenness,52,0.19243056604296546,0.03373646928085679,0.014411198666474001,0.02217162622290348,1.7457178196381047,1,0.18367490106396314,n.s.,NA,NA,NA
