Watershed,dep_names,expl_names,nobs,p.value,r.squared,adj.r.squared,RMSE,statistic,df,r,p,r.sq.adj,r_labels,r2_labels
Gunnison,DOC_mgL,WsAreaSqKm,29,1.01862720760802e-5,0.5200041158732943,0.5022264905352682,0.7542328800596646,29.250482333037567,1,0.7211131089318058,< 0.1,0.50,r~'= '*0.72,r^2~'= '*0.50
Gunnison,DOC_mgL,tt_hr,29,7.756305717839827e-6,0.5293232252601613,0.5118907521216487,0.7468752858643081,30.364207135404005,1,0.727546029650469,< 0.1,0.51,r~'= '*0.73,r^2~'= '*0.51
Gunnison,DOC_mgL,Da,29,4.473368053669428e-6,0.547621192425258,0.5308664217743416,0.7322136658477388,32.68449349948618,1,0.7400143190677178,< 0.1,0.53,r~'= '*0.74,r^2~'= '*0.53
Gunnison,DOC_mgL,lulc_evenness,29,0.05444181237646255,0.13023593971216915,0.09802245599780512,1.0152837460330828,4.042901440495133,1,0.36088216873679035,< 0.1,0.10,r~'= '*0.36,r^2~'= '*0.10
Gunnison,DOC_mgL,PctDecid2019Ws,29,0.09128017556648349,0.10198826928942473,0.06872857555940348,1.0316388992013146,3.066422382517814,1,0.31935602278558134,< 0.1,0.07,r~'= '*0.32,r^2~'= '*0.07
Gunnison,DOC_mgL,PctConif2019Ws,29,0.09325067768450589,0.10082550696258363,0.06752274796119795,1.0323065757788428,3.0275421612482045,1,0.3175303244771807,< 0.1,0.07,r~'= '*0.32,r^2~'= '*0.07
Gunnison,number.of.peaks,WsAreaSqKm,29,0.19247013204038488,0.06207056628573151,0.027332439111129037,1182.8647778639274,1.7868138363864372,1,0.24913965217470208,n.s.,NA,NA,NA
Gunnison,number.of.peaks,tt_hr,29,0.04540508932052806,0.14016426029690313,0.10831849215975142,1132.5509899154422,4.401346505232683,1,0.37438517638510066,< 0.1,0.11,r~'= '*0.37,r^2~'= '*0.11
Gunnison,number.of.peaks,Da,29,0.042151147570419954,0.14422708799987216,0.11253179496283039,1129.872101554134,4.550426078450082,1,0.3797724160597661,< 0.1,0.11,r~'= '*0.38,r^2~'= '*0.11
Gunnison,number.of.peaks,lulc_evenness,29,0.457115197924292,0.020645510878709722,-0.01562687760726389,1208.7040484140605,0.5691798015091618,1,-0.14368545813237246,n.s.,NA,NA,NA
Gunnison,number.of.peaks,PctDecid2019Ws,29,0.5905345441595451,0.010863347943576435,-0.025771342873328162,1214.7255460515128,0.2965317217462005,1,-0.10422738576581735,n.s.,NA,NA,NA
Gunnison,number.of.peaks,PctConif2019Ws,29,5.369260736959804e-4,0.36350742960465526,0.3399336307011239,974.421116387837,15.419976690740448,1,0.6029157732259585,< 0.1,0.34,r~'= '*0.60,r^2~'= '*0.34
Gunnison,AI_Mod.mean,WsAreaSqKm,29,0.19489525109423764,0.061419765039939005,0.02665753411549232,0.02943977060699295,1.7668533752459845,1,0.2478301132629752,n.s.,NA,NA,NA
Gunnison,AI_Mod.mean,tt_hr,29,0.045244771519428635,0.14035758836945647,0.10851898053128817,0.028174592046654335,4.408408466942927,1,0.3746432814951528,< 0.1,0.11,r~'= '*0.37,r^2~'= '*0.11
Gunnison,AI_Mod.mean,Da,29,0.049199871852458374,0.13577533233887296,0.10376701131438681,0.028249583465169783,4.241876111996177,1,0.3684770445209212,< 0.1,0.10,r~'= '*0.37,r^2~'= '*0.10
Gunnison,AI_Mod.mean,lulc_evenness,29,0.49888203740596226,0.017105598715746774,-0.019297897628114402,0.030126740741695315,0.46988889622497243,1,-0.13078837377896715,n.s.,NA,NA,NA
Gunnison,AI_Mod.mean,PctDecid2019Ws,29,0.7451581582460635,0.003977924828243413,-0.032911781659599404,0.03032726187849345,0.10783292161878151,1,-0.06307079219609836,n.s.,NA,NA,NA
Gunnison,AI_Mod.mean,PctConif2019Ws,29,3.7217183034006176e-4,0.37970287679078746,0.3567289092645204,0.02393308057729909,16.52752735706868,1,0.6162003544228026,< 0.1,0.36,r~'= '*0.62,r^2~'= '*0.36
Gunnison,CHON_norm,WsAreaSqKm,29,0.023555343137337693,0.17583254528464826,0.14530782473963533,0.019737501268186658,5.7603326793887675,1,0.4193239145155548,< 0.1,0.15,r~'= '*0.42,r^2~'= '*0.15
Gunnison,CHON_norm,tt_hr,29,0.03391254987421103,0.15608392969681803,0.12482777894484842,0.019972575384331163,4.993702869409852,1,0.39507458751078633,< 0.1,0.12,r~'= '*0.40,r^2~'= '*0.12
Gunnison,CHON_norm,Da,29,0.04673381718746248,0.13858746963420746,0.10668330184288177,0.020178553608361276,4.343867250845128,1,0.3722733802385115,< 0.1,0.11,r~'= '*0.37,r^2~'= '*0.11
Gunnison,CHON_norm,lulc_evenness,29,0.2750040244224313,0.04395991273321236,0.00855102061222024,0.021258004367467973,1.2414935938408185,1,0.2096661935868829,n.s.,NA,NA,NA
Gunnison,CHON_norm,PctDecid2019Ws,29,0.2869163831721231,0.0418809827139235,0.006395093184809575,0.021281104813229843,1.1802151015423408,1,0.20464843687143935,n.s.,NA,NA,NA
Gunnison,CHON_norm,PctConif2019Ws,29,0.06985430596332892,0.11659404004075392,0.08387530078300409,0.02043452763394185,3.563524838847118,1,0.3414586944869821,< 0.1,0.08,r~'= '*0.34,r^2~'= '*0.08
Gunnison,normalized.transformations,WsAreaSqKm,29,0.017085366698785433,0.19306760722572233,0.16318122230815657,1.526994892154747,6.460052219706442,1,0.43939459171196277,< 0.1,0.16,r~'= '*0.44,r^2~'= '*0.16
Gunnison,normalized.transformations,tt_hr,29,0.015895549211647167,0.1969164374359843,0.16717260178546522,1.5233488810700915,6.6204116963827975,1,0.4437526759761388,< 0.1,0.17,r~'= '*0.44,r^2~'= '*0.17
Gunnison,normalized.transformations,Da,29,0.014760931253014649,0.2008547268885465,0.17125675381034466,1.5196090696784417,6.786097357337958,1,0.4481681904023826,< 0.1,0.17,r~'= '*0.45,r^2~'= '*0.17
Gunnison,normalized.transformations,lulc_evenness,29,0.33184608921515646,0.034903133950995174,-8.411944211901279e-4,1.6699538221518577,0.9764663525795949,1,0.18682380456193234,n.s.,NA,NA,NA
Gunnison,normalized.transformations,PctDecid2019Ws,29,0.5256310091243699,0.015083181825210483,-0.02139521884792983,1.6870143864420497,0.41348254163775544,1,0.12281360602641092,n.s.,NA,NA,NA
Gunnison,normalized.transformations,PctConif2019Ws,29,0.005905459095786376,0.24860079313489558,0.22077119288063252,1.4735143702750093,8.932963135063833,1,0.4985988298571267,< 0.1,0.22,r~'= '*0.50,r^2~'= '*0.22
Willamette,DOC_mgL,WsAreaSqKm,49,0.16535650700967355,0.040539502798096344,0.02012544966614105,0.43003614012596986,1.985862510303616,1,0.2013442395453526,n.s.,NA,NA,NA
Willamette,DOC_mgL,tt_hr,49,0.18678607707213035,0.036782337418368255,0.016288344597482518,0.4308773098455744,1.7947862937125043,1,0.19178721912152616,n.s.,NA,NA,NA
Willamette,DOC_mgL,Da,49,0.31331401843852946,0.021624596216249847,8.080982634041112e-4,0.43425434124121726,1.038820087088358,1,0.1470530387861801,n.s.,NA,NA,NA
Willamette,DOC_mgL,lulc_evenness,49,5.314545844051875e-4,0.22742912965278533,0.21099145156029142,0.38588737520593114,13.835842773721073,1,0.4768953026113648,< 0.1,0.21,r~'= '*0.48,r^2~'= '*0.21
Willamette,DOC_mgL,PctDecid2019Ws,49,0.03866798932714685,0.08783198810959017,0.06842415806936875,0.419303825674878,4.525595490457408,1,0.29636462020556736,< 0.1,0.07,r~'= '*0.30,r^2~'= '*0.07
Willamette,DOC_mgL,PctConif2019Ws,49,0.004893791911218246,0.1565458053070445,0.1385999713774072,0.4032015165685575,8.723239383627128,1,-0.39565869800504005,< 0.1,0.14,r~'= '*-0.40,r^2~'= '*0.14
Willamette,number.of.peaks,WsAreaSqKm,52,0.26958878187967206,0.0243205973572686,0.004807009304413912,845.1721471687138,1.246341641085877,1,0.15595062474151428,n.s.,NA,NA,NA
Willamette,number.of.peaks,tt_hr,52,0.22057542146305004,0.029858469863939825,0.010455639261218619,842.7701717012329,1.5388718520148417,1,0.1727960354404576,n.s.,NA,NA,NA
Willamette,number.of.peaks,Da,52,0.30956116590421795,0.020642082589843395,0.0010549242416402205,846.7638858858668,1.0538579523832277,1,0.14367352779772388,n.s.,NA,NA,NA
Willamette,number.of.peaks,lulc_evenness,52,0.018785685405633534,0.10553222598711358,0.08764287050685582,809.2336939607394,5.899163114265154,1,0.3248572393946507,< 0.1,0.09,r~'= '*0.32,r^2~'= '*0.09
Willamette,number.of.peaks,PctDecid2019Ws,52,0.2336432012190875,0.028248632617748466,0.008813605270103442,843.4691214965709,1.4534907573037912,1,0.16807329537362103,n.s.,NA,NA,NA
Willamette,number.of.peaks,PctConif2019Ws,52,0.049224662409735366,0.07515186252566962,0.05665489977618299,822.8616478663661,4.062929873595356,1,-0.2741384003120867,< 0.1,0.06,r~'= '*-0.27,r^2~'= '*0.06
Willamette,AI_Mod.mean,WsAreaSqKm,52,0.7182135686095926,0.0026269249204473885,-0.017320536581143742,0.022525714439116756,0.13169219152210718,1,-0.05125353568728102,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,tt_hr,52,0.8838468535616555,4.3106832497979644e-4,-0.01956031030852068,0.022550497564268114,0.02156271125081073,1,0.020762184976052016,n.s.,NA,NA,NA
Willamette,AI_Mod.mean,Da,52,0.9478445444633138,8.643556583203273e-5,-0.01991183572285138,0.022554384725116016,0.004322151879244931,1,-0.009297072971211686,n.s.,NA,NA,NA
